DNMT,Genome,variable,value
-1,Caenorhabditis_sp39,totalSingleton,20
-1,Caenorhabditis_sp40,totalSingleton,37
-1,Caenorhabditis_tropicalis,totalSingleton,16
-1,Caenorhabditis_virilis,totalSingleton,106
1,Capitella_teleta,totalSingleton,738
-1,Clonorchis_sinensis,totalSingleton,5
1,Crassostrea_gigas,totalSingleton,457
-1,Culex_quinquefasciatus,totalSingleton,405
1,Danaus_plexippus,totalSingleton,41
1,Daphnia_pulex,totalSingleton,399
-1,Dendroctonus_ponderosae,totalSingleton,255
-1,Dictyocaulus_viviparus,totalSingleton,4
-1,Diploscapter_coronatus,totalSingleton,122
-1,Dirofilaria_immitis,totalSingleton,4
-1,Ditylenchus_destructor,totalSingleton,147
-1,Dracunculus_medinensis,totalSingleton,51
-1,Drosophila_erecta,totalSingleton,21
-1,Drosophila_grimshawi,totalSingleton,65
-1,Drosophila_melanogaster,totalSingleton,6
-1,Drosophila_mojavensis,totalSingleton,79
-1,Drosophila_pseudoobscura,totalSingleton,146
-1,Drosophila_simulans,totalSingleton,5
-1,Drosophila_yakuba,totalSingleton,52
-1,Echinococcus_multilocularis,totalSingleton,9
-1,Echinostoma_caproni,totalSingleton,222
-1,Elaeophora_elaphi,totalSingleton,1
-1,Enterobius_vermicularis,totalSingleton,37
-1,Fasciola_hepatica,totalSingleton,139
-1,Globodera_pallida,totalSingleton,205
-1,Gongylonema_pulchrum,totalSingleton,226
-1,Gyrodactylus_salaris,totalSingleton,286
-1,Haemonchus_contortus,totalSingleton,2
-1,Haemonchus_placei,totalSingleton,3
1,Heliconius_melpomene,totalSingleton,85
1,Helobdella_robusta,totalSingleton,186
-1,Heterorhabditis_bacteriophora,totalSingleton,30
-1,Hydatigera_taeniaeformis,totalSingleton,50
-1,Hymenolepis_microstoma,totalSingleton,109
-1,Hypsibius_dujardini,totalSingleton,232
1,Lepeophtheirus_salmonis,totalSingleton,1124
1,Lingula_anatina,totalSingleton,255
-1,Litomosoides_sigmodontis,totalSingleton,2
-1,Loa_loa,totalSingleton,13
1,Lottia_gigantea,totalSingleton,238
-1,Lucilia_cuprina,totalSingleton,299
1,Macrostomum_lignano,totalSingleton,192
-1,Megaselia_scalaris,totalSingleton,541
1,Melitaea_cinxia,totalSingleton,151
